,DATE,OrderNumber,Coord
310,12/4/2018,3759739,"[24, 21.0]"
311,12/4/2018,3759739,"[28.0, 13.5]"
312,12/4/2018,3759739,"[28.0, 13.5]"
313,12/4/2018,3759739,"[32.5, 13.5]"
314,12/4/2018,3759728,"[45.5, 10.5]"
315,12/4/2018,3759728,"[19.5, 21.0]"
316,12/4/2018,3759726,"[24, 6.0]"
317,12/4/2018,3759717,"[20.75, 12.0]"
318,12/4/2018,3759716,"[37.75, 18.0]"
319,12/4/2018,3759716,"[22.75, 16.5]"
320,12/4/2018,3759715,"[22.75, 13.5]"
321,12/4/2018,3759715,"[22.75, 13.5]"
322,12/4/2018,3759715,"[19.5, 21.0]"
323,12/4/2018,3759715,"[22.75, 12.0]"
324,12/4/2018,3759715,"[22.75, 12.0]"
325,12/4/2018,3759715,"[20.75, 12.0]"
326,12/4/2018,3759715,"[20.75, 12.0]"
327,12/4/2018,3759715,"[20.75, 12.0]"
328,12/4/2018,3759715,"[20.75, 12.0]"
329,12/4/2018,3759715,"[37.75, 16.5]"
330,12/4/2018,3759711,"[24, 19.5]"
331,12/4/2018,3759702,"[34.5, 12.0]"
332,12/4/2018,3759703,"[41.0, 16.5]"
333,12/4/2018,3759705,"[45.5, 22.5]"
334,12/4/2018,3759705,"[19.5, 21.0]"
335,12/4/2018,3759686,"[20.75, 22.5]"
336,12/4/2018,3759679,"[39.0, 9.0]"
337,12/4/2018,3759675,"[35.75, 15.0]"
338,12/4/2018,3759672,"[19.5, 21.0]"
339,12/4/2018,3759661,"[37.75, 9.0]"
340,12/4/2018,3759653,"[34.5, 15.0]"
341,12/4/2018,3759631,"[28.0, 9.0]"
342,12/4/2018,3759631,"[34.5, 16.5]"
343,12/4/2018,3759626,"[22.75, 6.0]"
344,12/4/2018,3759626,"[22.75, 16.5]"
345,12/4/2018,3759621,"[32.5, 18.0]"
346,12/4/2018,3759621,"[15.25, 10.5]"
347,12/4/2018,3759621,"[15.25, 6.0]"
348,12/4/2018,3759609,"[35.75, 15.0]"
349,12/4/2018,3759598,"[19.5, 21.0]"
350,12/4/2018,3759586,"[24, 10.5]"
351,12/4/2018,3759586,"[20.75, 22.5]"
352,12/4/2018,3759586,"[24, 13.5]"
353,12/4/2018,3759579,"[24, 12.0]"
354,12/4/2018,3759579,"[24, 12.0]"
355,12/4/2018,3759578,"[19.5, 9.0]"
356,12/4/2018,3759578,"[15.25, 10.5]"
357,12/4/2018,3759572,"[48.75, 12.0]"
358,12/4/2018,3759573,"[19.5, 21.0]"
359,12/4/2018,3759573,"[44.25, 16.5]"
360,12/4/2018,3759566,"[22.75, 12.0]"
361,12/4/2018,3759564,"[44.25, 6.0]"
362,12/4/2018,3759564,"[19.5, 21.0]"
363,12/4/2018,3759561,"[48.75, 12.0]"
364,12/4/2018,3759561,"[39.0, 15.0]"
365,12/4/2018,3759557,"[19.5, 21.0]"
366,12/4/2018,3759543,"[45.5, 15.0]"
367,12/4/2018,3759543,"[35.75, 13.5]"
368,12/4/2018,3759533,"[45.5, 19.5]"
369,12/4/2018,3759521,"[19.5, 19.5]"
370,12/4/2018,3759521,"[37.75, 15.0]"
371,12/4/2018,3759514,"[24, 6.0]"
372,12/4/2018,3759486,"[34.5, 16.5]"
373,12/4/2018,3759477,"[19.5, 21.0]"
374,12/4/2018,3759478,"[35.75, 21.0]"
375,12/4/2018,3759468,"[19.5, 21.0]"
376,12/4/2018,3759468,"[42.25, 18.0]"
377,12/4/2018,3759454,"[35.75, 13.5]"
378,12/4/2018,3759454,"[19.5, 21.0]"
379,12/4/2018,3759454,"[35.75, 22.5]"
380,12/4/2018,3759453,"[28.0, 13.5]"
381,12/4/2018,3759453,"[42.25, 12.0]"
382,12/4/2018,3759453,"[26, 10.5]"
383,12/4/2018,3759453,"[20.75, 9.0]"
384,12/4/2018,3759451,"[44.25, 22.5]"
385,12/4/2018,3759451,"[19.5, 21.0]"
386,12/4/2018,3759408,"[20.75, 10.5]"
387,12/4/2018,3759406,"[22.75, 18.0]"
388,12/4/2018,3759396,"[20.75, 9.0]"
389,12/4/2018,3759380,"[32.5, 22.5]"
390,12/4/2018,3759378,"[32.5, 21.0]"
391,12/4/2018,3759378,"[50.75, 10.5]"
392,12/4/2018,3759370,"[41.0, 10.5]"
393,12/4/2018,3759363,"[35.75, 16.5]"
394,12/4/2018,3759350,"[24, 9.0]"
395,12/4/2018,3759341,"[34.5, 16.5]"
396,12/4/2018,3759341,"[34.5, 12.0]"
397,12/4/2018,3759342,"[47.5, 9.0]"
398,12/4/2018,3759331,"[19.5, 21.0]"
399,12/4/2018,3759331,"[44.25, 16.5]"
400,12/4/2018,3759330,"[32.5, 21.0]"
401,12/4/2018,3759329,"[22.75, 12.0]"
402,12/4/2018,3759329,"[20.75, 12.0]"
403,12/4/2018,3759326,"[35.75, 13.5]"
404,12/4/2018,3759326,"[28.0, 10.5]"
405,12/4/2018,3759326,"[19.5, 21.0]"
406,12/4/2018,3759319,"[37.75, 6.0]"
407,12/4/2018,3759318,"[44.25, 12.0]"
408,12/4/2018,3759316,"[31.25, 9.0]"
409,12/4/2018,3759305,"[37.75, 21.0]"
410,12/4/2018,3759306,"[24, 21.0]"
411,12/4/2018,3759295,"[34.5, 12.0]"
412,12/4/2018,3759275,"[19.5, 21.0]"
413,12/4/2018,3759273,"[37.75, 12.0]"
414,12/4/2018,3759273,"[19.5, 21.0]"
415,12/4/2018,3759250,"[24, 9.0]"
416,12/4/2018,3759250,"[20.75, 10.5]"
417,12/4/2018,3759246,"[44.25, 6.0]"
418,12/4/2018,3759246,"[19.5, 21.0]"
419,12/4/2018,3759233,"[22.75, 12.0]"
420,12/4/2018,3759233,"[20.75, 12.0]"
